Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
UConn,6,TRUE,FALSE,1,UConn,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,6,FALSE,FALSE,0,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,6,TRUE,FALSE,1,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,6,TRUE,FALSE,1,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio St.,7,TRUE,FALSE,1,Ohio St.,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier,7,TRUE,FALSE,1,Xavier,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,7,TRUE,FALSE,1,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,7,TRUE,FALSE,1,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,8,TRUE,FALSE,1,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,8,TRUE,FALSE,1,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,8,TRUE,FALSE,1,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,8,FALSE,FALSE,0,Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,9,TRUE,FALSE,1,Miami,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,9,TRUE,FALSE,1,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,9,TRUE,FALSE,1,St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,9,TRUE,FALSE,1,Villanova,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi St.,10,,FALSE,0,Mississippi St.,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's,10,,FALSE,0,St. John's,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,10,,FALSE,0,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona St.,10,,FALSE,0,Arizona St.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3 - 25    ,2 - 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
